===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:5 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #120    | 0.00093    | 6.9788     | " w"(0.083), "_"(0.044), "."(0.037)
Identifier recovery  | x = 10\nprint(               | x          | #76     | 0.00146    | 6.5261     | " w"(0.081), "_"(0.046), "."(0.039)
Identifier recovery  | def __init__(self,           | name       | #3334   | 0.00003    | 10.4256    | " w"(0.086), "_"(0.043), "."(0.036)
Identifier recovery  | self.name =                  | name       | #3257   | 0.00003    | 10.4795    | " w"(0.084), "_"(0.054), "."(0.047)
Identifier recovery  | total = sum(                 | items      | #1727   | 0.00008    | 9.4894     | " w"(0.080), "_"(0.044), "."(0.035)
Identifier recovery  | for elem in                  | lst        | #1435   | 0.00009    | 9.3031     | " w"(0.080), "_"(0.046), "."(0.035)
Identifier recovery  | res = val *                  | factor     | #85     | 0.00123    | 6.6986     | " w"(0.083), "_"(0.050), "."(0.043)
Identifier recovery  | msg = str(                   | err        | #2829   | 0.00004    | 10.1452    | " w"(0.083), "_"(0.043), "."(0.036)
Identifier recovery  | dx = x2 -                    | x1         | #75     | 0.00147    | 6.5219     | " w"(0.086), "_"(0.044), "."(0.037)
Identifier recovery  | data = json.loads(           | text       | #26     | 0.00380    | 5.5737     | " w"(0.086), "_"(0.057), "."(0.050)
Identifier recovery  | res = []\nfor x in           | items      | #1769   | 0.00007    | 9.5654     | " w"(0.086), "_"(0.047), "."(0.041)
Identifier recovery  | left +                       | right      | #4914   | 0.00001    | 11.3270    | " w"(0.083), "_"(0.051), "."(0.043)
Identifier recovery  | width *                      | height     | #814    | 0.00017    | 8.7033     | " w"(0.083), "_"(0.047), "."(0.039)
Function names       | def get_                     | name       | #3259   | 0.00003    | 10.4950    | " w"(0.086), "_"(0.057), "."(0.049)
Function names       | def set_                     | val        | #1252   | 0.00010    | 9.2318     | " w"(0.086), "_"(0.056), "."(0.048)
Function names       | def parse_                   | data       | #433    | 0.00027    | 8.2071     | " w"(0.086), "_"(0.076), "."(0.069)
Function names       | def build_                   | model      | #4459   | 0.00002    | 11.0184    | " w"(0.086), "_"(0.045), "."(0.038)
Function names       | def test_                    | func       | #474    | 0.00026    | 8.2667     | " w"(0.087), "_"(0.072), "."(0.065)
Function names       | def process_                 | request    | #420    | 0.00030    | 8.0979     | " w"(0.086), "_"(0.058), "."(0.050)
Function names       | def validate_                | input      | #2860   | 0.00004    | 10.1603    | " w"(0.083), "_"(0.044), "."(0.037)
Function names       | def load_                    | config     | #2302   | 0.00005    | 9.9494     | " w"(0.086), "_"(0.055), "."(0.048)
Function names       | def save_                    | file       | #6767   | 0.00000    | 12.2581    | " w"(0.087), "_"(0.065), "."(0.059)
Function names       | def calculate_               | total      | #4933   | 0.00001    | 11.5712    | " w"(0.084), "_"(0.063), "."(0.056)
