  [AR Baseline] Step      1/96 | Loss:   9.36 | CE: 9.355 | LR: 5.33e-05 |   0.6 st/s |    75,729 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.79GB) | Swap: 6225.88M | ETA:  2.7m
  [AR Baseline] Step     50/96 | Loss:   5.90 | CE: 5.900 | LR: 2.58e-04 |   0.6 st/s |    79,527 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6225.88M | ETA:  1.3m
  [AR Baseline] Step     96/96 | Loss:   5.90 | CE: 5.899 | LR: 4.00e-05 |   0.6 st/s |    78,121 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6169.88M | ETA:  0.0m
  Step      1/96 | ELBO Loss:  28.29 | CE: 9.470 | LR: 5.33e-05 |   0.6 st/s |    76,601 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6169.88M | ETA:  2.7m
  Step     50/96 | ELBO Loss:  19.55 | CE: 6.490 | LR: 2.58e-04 |   0.6 st/s |    81,776 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6137.88M | ETA:  1.2m
  Step     96/96 | ELBO Loss:  19.70 | CE: 6.587 | LR: 4.00e-05 |   0.6 st/s |    78,431 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6113.88M | ETA:  0.0m
  [UNDLM] Step      1/96 | ELBO Loss:  52.81 | CE: 9.246 | LR: 5.33e-05 |   0.5 st/s |    69,130 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6113.88M | ETA:  3.0m
  [UNDLM] Step     50/96 | ELBO Loss:  19.53 | CE: 5.585 | LR: 2.58e-04 |   0.5 st/s |    71,679 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6113.88M | ETA:  1.4m
  [UNDLM] Step     96/96 | ELBO Loss:  12.06 | CE: 5.103 | LR: 4.00e-05 |   0.6 st/s |    73,387 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6073.88M | ETA:  0.0m
  [AR Baseline] Step      1/478 | Loss:   9.50 | CE: 9.501 | LR: 1.60e-05 |   0.6 st/s |    77,796 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6065.88M | ETA: 13.4m
  [AR Baseline] Step     50/478 | Loss:   6.25 | CE: 6.248 | LR: 4.00e-04 |   0.5 st/s |    70,565 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6025.88M | ETA: 13.2m
