===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:20 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #105    | 0.00100    | 6.9064     | " w"(0.028), " m"(0.016), "pe"(0.013)
Identifier recovery  | x = 10\nprint(               | x          | #8      | 0.01336    | 4.3157     | " w"(0.108), "("(0.030), ","(0.028)
Identifier recovery  | def __init__(self,           | name       | #7586   | 0.00001    | 11.9640    | " w"(0.062), ","(0.044), "',"(0.023)
Identifier recovery  | self.name =                  | name       | #393    | 0.00037    | 7.8922     | " w"(0.032), "."(0.022), " th"(0.018)
Identifier recovery  | total = sum(                 | items      | #891    | 0.00013    | 8.9714     | " w"(0.085), "."(0.059), "("(0.038)
Identifier recovery  | for elem in                  | lst        | #3596   | 0.00003    | 10.3154    | "_"(0.098), " w"(0.095), " th"(0.025)
Identifier recovery  | res = val *                  | factor     | #55     | 0.00167    | 6.3964     | " w"(0.100), "."(0.094), " th"(0.033)
Identifier recovery  | msg = str(                   | err        | #4504   | 0.00002    | 10.7147    | " w"(0.088), "."(0.052), ","(0.039)
Identifier recovery  | dx = x2 -                    | x1         | #2      | 0.02546    | 3.6707     | " w"(0.052), "x"(0.025), ","(0.024)
Identifier recovery  | data = json.loads(           | text       | #201    | 0.00060    | 7.4171     | " w"(0.098), "."(0.054), " th"(0.034)
Identifier recovery  | res = []\nfor x in           | items      | #565    | 0.00029    | 8.1553     | " w"(0.020), " th"(0.017), "."(0.011)
Identifier recovery  | left +                       | right      | #6020   | 0.00003    | 10.4046    | "vi"(0.015), " w"(0.015), "x"(0.010)
Identifier recovery  | width *                      | height     | #3821   | 0.00003    | 10.4181    | " w"(0.107), "_"(0.061), "."(0.032)
Function names       | def get_                     | name       | #5798   | 0.00001    | 11.1494    | "_"(0.154), " w"(0.060), "."(0.037)
Function names       | def set_                     | val        | #924    | 0.00014    | 8.9006     | "_"(0.115), " w"(0.087), "."(0.020)
Function names       | def parse_                   | data       | #1309   | 0.00008    | 9.4637     | "_"(0.182), " w"(0.054), ","(0.038)
Function names       | def build_                   | model      | #1872   | 0.00006    | 9.7977     | "_"(0.176), " w"(0.063), "."(0.040)
Function names       | def test_                    | func       | #860    | 0.00013    | 8.9526     | "_"(0.196), " w"(0.072), "."(0.032)
Function names       | def process_                 | request    | #253    | 0.00043    | 7.7628     | "_"(0.147), " w"(0.061), "."(0.041)
Function names       | def validate_                | input      | #1347   | 0.00008    | 9.4011     | " w"(0.128), "_"(0.090), "."(0.038)
