=====================================================================================
 FILTERED LEADERBOARD — INFORMATIVE PROBES ONLY (TIER 2 PROBES, N=32)
=====================================================================================
🏆 RANK LEADERBOARD (UN-NOISED BY AMBIGUOUS PROBES)
-------------------------------------------------------------------------------------
  1 . 12.5M 1:15       | Mean Rank: #1131.8
  2 . 25M 1:10         | Mean Rank: #1189.0
  3 . 25M 1:1          | Mean Rank: #1196.8
  4 . 25M 1:15         | Mean Rank: #1230.4
  5 . 12.5M 1:5        | Mean Rank: #1239.8
  6 . 50M 1:10         | Mean Rank: #1246.2
  7 . 25M 1:5          | Mean Rank: #1268.8
  8 . 50M 1:25         | Mean Rank: #1277.0
  9 . 12.5M 1:20       | Mean Rank: #1281.2
  10. 25M 1:25         | Mean Rank: #1318.4
  11. 25M 1:20         | Mean Rank: #1336.4
  12. 12.5M 1:10       | Mean Rank: #1348.2
  13. 12.5M 1:1        | Mean Rank: #1371.8
  14. 50M 1:1          | Mean Rank: #1398.8
  15. 12.5M 1:25       | Mean Rank: #1434.6
  16. 50M 1:20         | Mean Rank: #1749.9

🏆 CROSS-ENTROPY LEADERBOARD (UN-NOISED BY AMBIGUOUS PROBES)
-------------------------------------------------------------------------------------
  1 . 25M 1:25         | Mean CE Loss: 7.9313
  2 . 12.5M 1:5        | Mean CE Loss: 7.9407
  3 . 12.5M 1:15       | Mean CE Loss: 7.9460
  4 . 50M 1:10         | Mean CE Loss: 7.9502
  5 . 50M 1:25         | Mean CE Loss: 7.9616
  6 . 25M 1:15         | Mean CE Loss: 7.9954
  7 . 25M 1:10         | Mean CE Loss: 8.0161
  8 . 12.5M 1:25       | Mean CE Loss: 8.0178
  9 . 25M 1:20         | Mean CE Loss: 8.0196
  10. 25M 1:5          | Mean CE Loss: 8.0227
  11. 12.5M 1:20       | Mean CE Loss: 8.0946
  12. 25M 1:1          | Mean CE Loss: 8.1113
  13. 12.5M 1:10       | Mean CE Loss: 8.2002
  14. 12.5M 1:1        | Mean CE Loss: 8.2471
  15. 50M 1:1          | Mean CE Loss: 8.2897
  16. 50M 1:20         | Mean CE Loss: 8.6385
=====================================================================================
