============================================================================================================================================================================================================================
 MASTER PER-PROMPT TARGET RANK MATRIX (12.5M vs 25M vs 50M)
============================================================================================================================================================================================================================
CAT                  | PROMPT                       | TARGET     | 12.5M 1:1  | 12.5M 1:5  | 12.5M 1:10 | 12.5M 1:15 | 12.5M 1:20 | 12.5M 1:25 | 25M 1:1    | 25M 1:5    | 25M 1:10   | 25M 1:15   | 25M 1:20   | 25M 1:25   | 50M 1:1    | 50M 1:10   | 50M 1:20   | 50M 1:25   | AVG RANK
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #315       | #120       | #63        | #68        | #105       | #102       | #164       | #53        | #99        | #83        | #119       | #48        | #105       | #45        | #157       | #114       | #110.0 
Identifier recovery  | x = 10\nprint(               | x          | #29        | #76        | #17        | #70        | #8         | #62        | #143       | #74        | #55        | #78        | #69        | #39        | #75        | #59        | #8         | #23        | #55.3  
Identifier recovery  | def __init__(self,           | name       | #172       | #3334      | #443       | #7448      | #7586      | #5915      | #6944      | #7451      | #6486      | #6304      | #7006      | #1901      | #5792      | #5067      | #4129      | #3176      | #4947.1
Identifier recovery  | self.name =                  | name       | #174       | #3257      | #1479      | #7301      | #393       | #5623      | #7035      | #7444      | #6115      | #6070      | #6945      | #1074      | #5750      | #4621      | #86        | #1142      | #4031.8
Identifier recovery  | total = sum(                 | items      | #979       | #1727      | #869       | #1329      | #891       | #820       | #1680      | #1640      | #1181      | #618       | #829       | #2705      | #1678      | #967       | #840       | #1078      | #1239.4
Identifier recovery  | for elem in                  | lst        | #7227      | #1435      | #1662      | #4924      | #3596      | #936       | #4913      | #1379      | #3919      | #2821      | #1210      | #2872      | #2435      | #1185      | #2724      | #1628      | #2804.1
Identifier recovery  | res = val *                  | factor     | #302       | #85        | #86        | #97        | #55        | #149       | #75        | #153       | #57        | #139       | #73        | #41        | #277       | #158       | #104       | #51        | #118.9 
Identifier recovery  | msg = str(                   | err        | #3542      | #2829      | #2652      | #4949      | #4504      | #4229      | #3729      | #1933      | #2800      | #2260      | #4171      | #2627      | #2026      | #2560      | #685       | #5676      | #3198.2
Identifier recovery  | dx = x2 -                    | x1         | #32        | #75        | #23        | #69        | #2         | #73        | #143       | #69        | #55        | #74        | #61        | #52        | #74        | #58        | #7         | #53        | #57.5  
Identifier recovery  | data = json.loads(           | text       | #41        | #26        | #28        | #39        | #201       | #32        | #40        | #43        | #50        | #32        | #32        | #101       | #37        | #28        | #152       | #156       | #64.9  
Identifier recovery  | res = []\nfor x in           | items      | #993       | #1769      | #713       | #1305      | #565       | #1133      | #1664      | #1764      | #1093      | #636       | #810       | #794       | #1709      | #1001      | #1322      | #2155      | #1214.1
Identifier recovery  | left +                       | right      | #6998      | #4914      | #3865      | #6404      | #6020      | #3902      | #2579      | #3516      | #1389      | #4550      | #3815      | #4803      | #998       | #2142      | #1496      | #1583      | #3685.9
